,PnL_Baseline,PnL_VariantA,PnL_VariantB
2023-05-23,232.0036857692835,1590.1111130494844,1670.681991666524
2023-05-24,2085.376926849152,3128.065390273728,4162.417499719935
2023-05-25,10924.270358946753,12618.398104223712,12770.140219197918
2023-05-26,1036.6316158648303,518.3158079324152,579.329510590626
2023-05-29,0.0,0.0,0.0
2023-05-30,5621.278770930326,7594.003893766164,10438.131495574482
2023-05-31,-592.8368179724894,-725.7039890817332,-679.7596202809839
2023-06-01,0.0,0.0,0.0
2023-06-02,4558.107339144356,6687.374683587746,5495.970291617707
2023-06-05,83.63702645199723,41.818513225998615,50.507221997396584
2023-06-06,0.0,0.0,0.0
2023-06-07,4875.438862741525,4695.458861782662,4617.079509049666
2023-06-08,461.6326637060266,311.03015889384926,285.8906441925062
2023-06-09,1234.4104044721867,1092.5579265261056,989.2626493939455
2023-06-12,567.0620878903684,518.6410284088129,430.999694125063
2023-06-13,2051.0078347226217,2970.773209671577,2933.2402390258944
2023-06-14,3094.0843409394142,2849.43203170086,2810.4841986984607
2023-06-15,29.43576971953759,213.4729262381954,153.70621137057088
2023-06-16,10234.604702776574,14798.197604717001,16250.343481277947
2023-06-19,0.0,0.0,0.0
2023-06-20,1029.0823987551692,1543.6235981327538,1824.7460305949528
2023-06-21,1377.177585778603,1451.646271019018,1279.814987766094
2023-06-22,250.00015894571942,250.00015894571942,241.20853831474972
2023-06-23,1138.2443563428928,1288.1797323379365,1559.4424686931848
2023-06-26,456.04283297892607,472.42392269364825,506.3262437808306
2023-06-27,-995.9408646392094,-718.8489539095337,-694.203632539037
2023-06-28,-4763.449350275557,-2834.9823746227066,-3255.195577940908
2023-06-29,1562.6601224766564,877.4838192196197,1013.0330731185004
2023-06-30,2763.2014171205847,2791.5112525455334,2483.5787455378863
2023-07-03,404.08943607411186,496.6177685009693,345.69939694403956
2023-07-04,0.0,0.0,0.0
2023-07-05,1767.9799742498749,2705.832856366985,2921.582128400899
2023-07-06,2092.9830977275788,3479.0337138849122,4292.556260345497
2023-07-07,-2407.4304599544375,-1382.1206817631964,-1488.6641139660683
2023-07-10,0.0,0.0,0.0
2023-07-11,-1447.9057951646669,816.0981216679463,61.85372951617047
2023-07-12,8366.944371454647,10492.008713364972,10228.696999145404
2023-07-13,844.6430693275483,815.1786045356345,733.4369001664014
2023-07-14,529.8016120569697,264.90080602848485,291.6738227339454
2023-07-17,654.363022732595,970.6022463145323,801.8367150194871
2023-07-18,1193.0416828719594,1731.2582052084306,1529.6871318006283
2023-07-19,-644.068425632025,-2063.9302103223786,-1471.2408457651247
2023-07-20,2166.6463702256938,3284.5967744121426,4073.738518837851
2023-07-21,3950.0706706350084,6187.064394110093,6210.286798493518
2023-07-24,403.2254188043424,201.6127094021712,278.5145589480016
2023-07-25,3261.74074195593,3684.99758714353,3290.196328653309
2023-07-26,-27.4909117711843,-168.08488171573208,-258.00030952546484
2023-07-27,21459.092219148424,30072.928854789196,44746.47965253735
2023-07-28,-1892.1169273367523,-1605.7545461026252,-1373.209230057672
2023-07-31,315.34018388118136,1113.5523997657951,1276.5636602423733
2023-08-01,666.6667108182565,333.3333554091283,482.93248133149825
2023-08-02,95.94095675831227,47.970478379156134,57.278336771055784
2023-08-03,-162.91633517407487,-232.97390292487225,-160.51372150249594
2023-08-04,4446.120853313829,6532.170694471676,7551.46008586747
2023-08-07,2202.1515368504456,3061.1532894657275,3049.048668313603
2023-08-08,3355.5501630785357,5296.961573575101,6360.740019540914
2023-08-09,3767.7507909909195,5125.441310485053,4310.439492505564
2023-08-10,7474.162144764255,8780.499785749837,7701.5531166646315
2023-08-11,1415.0248498129,2380.23489165058,3073.2869347156757
2023-08-14,-958.5326639354885,-1473.012597325929,-1109.6258326607042
2023-08-15,2293.9208054708415,3256.1136304137967,2471.593752228275
2023-08-16,441.85847064635936,220.92923532317968,231.7111126142713
2023-08-17,5351.48042061411,6203.152091255973,5643.049151659145
2023-08-18,136.51864172907773,136.51864172907773,123.9921771936789
2023-08-21,613.3757093799142,832.9243672430774,739.1292701067387
2023-08-22,10511.88905476352,11552.465150004384,11243.547251484266
2023-08-23,-913.6098282864458,-733.5986744866354,-741.5369311979397
2023-08-24,26604.54748471139,25556.77676052554,26245.607948596873
2023-08-25,1852.692783766082,2785.937434612777,2939.815615548591
2023-08-28,243.2899490025473,228.01733661222144,377.5854842536619
2023-08-29,-220.9522480867347,-220.9522480867347,-220.06730255862678
2023-08-30,163.2930916308345,425.79037662095266,21.714709409222678
2023-08-31,369.4956500152819,351.4148228112099,343.49242339311724
2023-09-01,1867.8589070667913,3302.0948884793875,4294.010305983774
2023-09-04,0.0,0.0,0.0
2023-09-05,741.7179765768317,922.7029788892393,793.2445737609978
2023-09-06,1743.8330812618228,2005.5193005150722,1827.504688687819
2023-09-07,-16.02512438380934,93.53887847926072,90.1161553397387
2023-09-08,1918.9626470995531,2503.773944621141,2614.003663480469
2023-09-11,4264.844030959444,564.8540299394866,2164.3806709301784
2023-09-12,1429.013892898449,1751.8809823487468,1724.2559561102903
2023-09-13,1557.092824993346,1949.2113633145648,1981.4058550161838
2023-09-14,-534.8223564231281,153.16893173220035,-118.32707383552749
2023-09-15,629.8661550100527,619.0049830683358,516.5003246495634
2023-09-18,654.274091758213,1513.1610306545667,1081.886549824092
2023-09-19,2039.5744710734507,2863.974264542351,2535.1633818834553
2023-09-20,6160.1208353847505,7401.343571750441,6962.388278720906
2023-09-21,1309.8109145076623,1400.7936139872386,1825.7101162146894
2023-09-22,9074.211158146141,12646.539698545044,13789.732759498344
2023-09-25,0.0,0.0,0.0
2023-09-26,926.7034970224183,1390.0552455336276,1663.7926249020845
2023-09-27,2213.689242365721,3173.4606429943447,3740.9759065512217
2023-09-28,1059.4403986286386,1452.601637075535,1470.7318064561625
2023-09-29,9455.90591858145,14183.858877872173,15535.895210335404
2023-10-02,3100.7615997465805,4218.746738381673,4154.630118194618
2023-10-03,1519.7785804784621,2279.667870717693,2492.7851819966577
2023-10-04,56.04656119175592,1051.1462115606946,370.78591053636814
2023-10-05,172.55114406502173,824.4982052353856,692.122606651957
2023-10-06,237.92851340898412,377.26840912778215,390.5208890567367
2023-10-09,-467.1885878494647,-581.5909029531433,-455.21713762146055
2023-10-10,-606.0328912487291,-378.640081346619,-418.7550832602159
2023-10-11,6357.947774344733,6712.338881837603,7927.870760887047
2023-10-12,3866.217637014309,4126.839150500885,3428.039877039608
2023-10-13,2873.228069441496,2305.0558229521125,2178.934782829053
2023-10-16,-2479.1523729452647,-2708.1082331051402,-2205.4907052448766
2023-10-17,69.47859038056265,873.4490956643865,1138.1137728884355
2023-10-18,2275.497864718743,3346.944991221869,3759.939205376463
2023-10-19,6859.985424367973,5777.15540846236,5300.806431147416
2023-10-20,1911.5672297826984,1890.1337247589731,2136.36984504649
2023-10-23,70.2289625199357,109.46385115247033,84.14003931046587
2023-10-24,1804.7088967884933,2707.06334518274,2884.8281448410594
2023-10-25,5501.728543273724,7838.850877444238,8220.84845713655
2023-10-26,1798.3721406692032,1218.2439138817974,1402.633054856541
2023-10-27,6747.613221101775,8819.232037486949,11104.187022698681
2023-10-30,2652.707271461075,2374.241338029457,2240.6149005581997
2023-10-31,80.8324302384195,639.6626478416937,749.9734778855461
2023-11-01,-1022.0290669389806,-1119.518129187661,-895.1897525985843
2023-11-02,-1905.058168258645,-870.5619511068063,-1211.2011613193458
2023-11-03,-2542.439152920563,-1271.2195764602816,-1343.5224932544706
2023-11-06,11626.360707502752,15054.386114573905,17899.014837490464
2023-11-07,-86.21817206339648,-43.10908603169824,18.77481827553558
2023-11-08,3327.99896292076,5013.860502313332,4873.178515124022
