Pool,Ticker,Type,Trade_Count,Win_Count,Total_Return,Avg_Return,Return_Std,Win_Rate
Final,PLTR,Holiday,27,17,0.06219120258397244,0.002303377873480461,0.05146181564618777,0.6296296296296297
Final,PLTR,Normal,382,195,-0.2232683956557856,-0.0005844722399366115,0.03834765886953619,0.5104712041884817
Final,PLTR,TOTM,81,44,0.17277564892685518,0.0021330327028006814,0.0322369285431049,0.5432098765432098
Final,QCOM,Holiday,26,11,-0.10057132044464498,-0.003868127709409422,0.019790301975997827,0.4230769230769231
Final,QCOM,Normal,405,203,0.21436399836104314,0.0005292938231136868,0.019452140829738788,0.5012345679012346
Final,QCOM,TOTM,78,38,-0.23067816399336605,-0.0029574123588893084,0.018903393072618298,0.48717948717948717
Final,SHOP,Holiday,21,12,-0.009626109361090148,-0.0004583861600519118,0.03002269922622012,0.5714285714285714
Final,SHOP,Normal,441,220,0.31410397585168365,0.0007122539134958813,0.032782895250858084,0.4988662131519274
Final,SHOP,TOTM,94,34,-0.6193142758805142,-0.006588449743409726,0.033840485780188036,0.3617021276595745
Final,STX,Holiday,15,6,0.004391321677605128,0.0002927547785070086,0.019782845330427026,0.4
Final,STX,Normal,372,170,-0.15581622188600172,-0.00041886081152151,0.02316811534474343,0.45698924731182794
Final,STX,TOTM,81,41,-0.2296133380134768,-0.002834732568067615,0.0218124011846439,0.5061728395061729
Final,UPST,Holiday,23,14,-0.17677962675429515,-0.007686070728447615,0.07862192547286835,0.6086956521739131
Final,UPST,Normal,406,205,-0.7277748179811833,-0.001792548812761535,0.061452828027367574,0.5049261083743842
Final,UPST,TOTM,86,45,0.034410934622280134,0.00040012714677069923,0.05991593241213671,0.5232558139534884
Final,ACHR,Holiday,27,11,-0.6797664461945219,-0.02517653504424155,0.06068140465283734,0.4074074074074074
Final,ACHR,Normal,399,238,2.657090005776015,0.006659373448060188,0.050814846652742156,0.5964912280701754
Final,ACHR,TOTM,82,41,-0.16034743682167962,-0.001955456546605849,0.06617110833468917,0.5
Final,ANET,Holiday,21,11,0.016390305387850013,0.0007804907327547626,0.024865966217969628,0.5238095238095238
Final,ANET,Normal,380,181,-0.19494865410991757,-0.0005130227739734673,0.02258193204185319,0.4763157894736842
Final,ANET,TOTM,89,38,-0.3631211749358633,-0.0040800132015265545,0.018448917409172965,0.42696629213483145
Final,BE,Holiday,28,16,-0.26659993752008176,-0.00952142634000292,0.05846852070583766,0.5714285714285714
Final,BE,Normal,482,250,-0.8510728503627883,-0.001765711307806615,0.05497296507211807,0.5186721991701245
Final,BE,TOTM,115,59,-0.13354811756602403,-0.0011612879788349916,0.047368117193774324,0.5130434782608696
Final,BRK-B,Holiday,7,4,0.010706995876111418,0.0015295708394444884,0.015532029419492626,0.5714285714285714
Final,BRK-B,Normal,210,114,0.15435692324609834,0.0007350329678385636,0.012314513934591646,0.5428571428571428
Final,BRK-B,TOTM,43,19,-0.06651188668948949,-0.001546788062546267,0.010639126734255534,0.4418604651162791
Final,CCJ,Holiday,25,15,0.09721037336599254,0.0038884149346397018,0.023492732638163965,0.6
Final,CCJ,Normal,422,230,0.29201469603530406,0.0006919779526902939,0.027108982029280124,0.5450236966824644
Final,CCJ,TOTM,109,51,-0.39554022852910503,-0.003628809436046835,0.03362309408077263,0.46788990825688076
Final,DOCN,Holiday,19,9,-0.158992387135437,-0.008368020375549316,0.04435145410881208,0.47368421052631576
Final,DOCN,Normal,354,192,1.3257515902029606,0.0037450609892739,0.03546378600264367,0.5423728813559322
Final,DOCN,TOTM,65,27,-0.40035514062620087,-0.006159309855787705,0.04066783220767382,0.4153846153846154
Final,FI,Holiday,11,5,0.0013682453910397307,0.0001243859446399755,0.015584495113420837,0.45454545454545453
Final,FI,Normal,269,130,-0.020881811892147356,-7.762755350240653e-05,0.017050694974937986,0.483271375464684
Final,FI,TOTM,57,24,-0.11433872719762558,-0.002005942582414484,0.016173693177744492,0.42105263157894735
Final,FUBO,Holiday,22,10,0.12129281255402839,0.005513309661546745,0.07007992482846784,0.45454545454545453
Final,FUBO,Normal,460,243,1.415530339358293,0.0030772398681702022,0.05990183631691659,0.5282608695652173
Final,FUBO,TOTM,99,46,0.3498694272248511,0.0035340346184328394,0.07382045586857625,0.46464646464646464
Final,GLW,Holiday,19,13,0.018570970245445,0.0009774194866023684,0.013540844318012809,0.6842105263157895
Final,GLW,Normal,318,138,-0.45177958415774366,-0.0014206905162193197,0.01895190606513057,0.4339622641509434
Final,GLW,TOTM,76,25,-0.325747451791081,-0.004286150681461592,0.01499655847290637,0.32894736842105265
Final,IBM,Holiday,7,4,0.009053571604778116,0.0012933673721111595,0.00791438203645247,0.5714285714285714
Final,IBM,Normal,203,87,-0.3748691795510134,-0.0018466462046847951,0.015396859258870785,0.42857142857142855
Final,IBM,TOTM,37,13,-0.11987256067841473,-0.0032397989372544523,0.011736576282098716,0.35135135135135137
Final,IONQ,Holiday,22,13,-0.05064701237745588,-0.0023021369262479943,0.04089427973894354,0.5909090909090909
Final,IONQ,Normal,426,243,1.3739888531717048,0.0032253259464124526,0.0571399701604202,0.5704225352112676
Final,IONQ,TOTM,90,50,0.49389957780279536,0.005487773086697726,0.05797807137048068,0.5555555555555556
Final,LUMN,Holiday,18,13,0.3387235090387683,0.018817972724376016,0.03225108424742742,0.7222222222222222
Final,LUMN,Normal,359,178,-0.8437971563979934,-0.0023504099064010956,0.04694635713173897,0.4958217270194986
Final,LUMN,TOTM,80,30,-0.4875629268503357,-0.006094536585629196,0.03530206261562641,0.375
Final,MCD,Holiday,7,6,0.06888699657575113,0.009840999510821591,0.01040928211084483,0.8571428571428571
Final,MCD,Normal,173,83,-0.14656064916328515,-0.000847171382446735,0.015646055800904207,0.4797687861271676
Final,MCD,TOTM,35,17,0.0032404038882515585,9.258296823575881e-05,0.011952079034449605,0.4857142857142857
Final,MP,Holiday,29,12,-0.032694723105810244,-0.0011274042450279394,0.0266778975378991,0.41379310344827586
Final,MP,Normal,426,240,1.7402630033773878,0.00408512442107368,0.041800108443784394,0.5633802816901409
Final,MP,TOTM,101,54,0.28139783878811575,0.002786117215723918,0.03836011589725031,0.5346534653465347
Final,NET,Holiday,22,11,0.06091347401286519,0.002768794273312054,0.04577599048572905,0.5
Final,NET,Normal,451,217,-0.554316314824006,-0.0012290827379689711,0.037119144966607835,0.4811529933481153
Final,NET,TOTM,94,49,-0.12868601756632014,-0.0013690001868757462,0.036301415701986355,0.5212765957446809
Final,NVO,Holiday,16,4,-0.04854744059605863,-0.0030342150372536644,0.006644951906385186,0.25
Final,NVO,Normal,404,182,-0.32343543122119467,-0.0008005827505475116,0.011592405994981047,0.4504950495049505
Final,NVO,TOTM,101,58,-0.01625917441838889,-0.00016098192493454346,0.014261527107994816,0.5742574257425742
Final,OKLO,Holiday,12,6,-0.28591110112673934,-0.023825925093894945,0.0837743383415519,0.5
Final,OKLO,Normal,198,122,-0.225941454112488,-0.0011411184551135757,0.0736973867478638,0.6161616161616161
Final,OKLO,TOTM,45,24,-0.13885981895564775,-0.00308577375456995,0.06470688218859748,0.5333333333333333
Final,ORCL,Holiday,13,9,0.06498704707930202,0.00499900362148477,0.012414727300971767,0.6923076923076923
Final,ORCL,Normal,288,142,0.1365301375418746,0.0004740629775759535,0.021482977503301547,0.4930555555555556
Final,ORCL,TOTM,66,33,0.043209884653892,0.0006546952220286667,0.015945937100313674,0.5
Final,OSCR,Holiday,22,9,-0.1557791651491227,-0.007080871143141942,0.058656943652592504,0.4090909090909091
