Ticker,Pool,Threshold,Events,Win Rate,Avg Return,Avg Intraday DD
IBM,Asset,-0.01,140,0.5,0.0019159592716216057,-0.014146949071902505
UUUU,Asset,-0.01,430,0.48372093023255813,0.0017925390321941194,-0.03145677930381682
GOOG,Asset,-0.01,272,0.5477941176470589,0.0017794188071726768,-0.012432249340648682
OSCR,Asset,-0.01,265,0.49433962264150944,0.0017699059833791427,-0.03266699071229121
BB,Toxic,-0.01,406,0.4630541871921182,0.001660442293044075,-0.024554263663126723
GLW,Asset,-0.01,251,0.5139442231075697,0.0016065407458535944,-0.015243058383814933
TSLA,Asset,-0.01,558,0.5304659498207885,0.001532822741371459,-0.023926881020475303
GRAB,Asset,-0.01,244,0.5655737704918032,0.0015244554240857393,-0.03113045180249431
KTOS,Asset,-0.01,304,0.5,0.0014473423500384393,-0.02700840123742294
POWI,Asset,-0.01,401,0.5386533665835411,0.0012867163156372965,-0.01828011955599468
MGK,Asset,-0.01,178,0.5280898876404494,0.0012535233284820828,-0.010828867351607088
ANET,Asset,-0.01,353,0.5410764872521246,0.001251419866219507,-0.020291191130769572
CIFR,Asset,-0.01,346,0.4797687861271676,0.0012222383713954557,-0.05033428951516068
PTON,Toxic,-0.01,379,0.49604221635883905,0.001203020589559944,-0.03483480322869277
SOFI,Asset,-0.01,299,0.5050167224080268,0.0011617629066288512,-0.030049664175469153
MRVL,Asset,-0.01,504,0.5079365079365079,0.001134890429407224,-0.020129597067779184
UNH,Asset,-0.01,167,0.5209580838323353,0.0010633799607225644,-0.016597082938340394
VOO,Asset,-0.01,132,0.5378787878787878,0.0010325319117123926,-0.010593685569521342
NVDA,Asset,-0.01,477,0.5073375262054507,0.0010051654042212146,-0.021079285096829246
NLR,Asset,-0.01,197,0.48223350253807107,0.0008602305058967392,-0.00835671341337602
MP,Asset,-0.01,313,0.4952076677316294,0.0008461645998374135,-0.029460166484327113
NVO,Asset,-0.01,515,0.5145631067961165,0.0008299728131991907,-0.009248230247756992
CLOV,Toxic,-0.01,286,0.46503496503496505,0.0007904497097153706,-0.03537423102085731
CCJ,Asset,-0.01,353,0.5014164305949008,0.0007662791999570143,-0.02274889203311667
LUMN,Asset,-0.01,320,0.48125,0.000750930610529962,-0.03151544829028897
APP,Asset,-0.01,261,0.5172413793103449,0.0007431944137857451,-0.031731417587765515
LCID,Toxic,-0.01,310,0.4612903225806452,0.0006510104903107063,-0.03594959774323722
BE,Asset,-0.01,463,0.49676025917926564,0.0006504081085941947,-0.038692325373549684
ABNB,Asset,-0.01,245,0.5142857142857142,0.0005391024426188513,-0.021600494371134996
STX,Asset,-0.01,353,0.5212464589235127,0.00048442782560889196,-0.020628908592238298
RXRX,Asset,-0.01,289,0.48788927335640137,0.0004430830196315675,-0.039357018329093545
BRK-B,Asset,-0.01,104,0.5480769230769231,0.00034988748685423055,-0.012515287774468108
MU,Asset,-0.01,558,0.521505376344086,0.000322058585530608,-0.02034333964453756
AMD,Asset,-0.01,538,0.5055762081784386,0.00026645865758689923,-0.023620238943019112
TSM,Asset,-0.01,430,0.47674418604651164,0.0001897867735607353,-0.01246536942737735
U,Asset,-0.01,351,0.5042735042735043,0.00018175679397626238,-0.03146788676321004
ORCL,Asset,-0.01,239,0.5062761506276151,0.00010707190553769524,-0.015378256955366884
BYND,Toxic,-0.01,380,0.4631578947368421,6.912372429762235e-05,-0.034235067206081445
MSFT,Asset,-0.01,228,0.49122807017543857,6.0404571776140825e-05,-0.013651841668777726
ADBE,Asset,-0.01,285,0.5017543859649123,-7.317451056234837e-05,-0.01713977295805516
AFRM,Toxic,-0.01,364,0.489010989010989,-0.0001569968600847355,-0.03971208466811116
ON,Asset,-0.01,532,0.4642857142857143,-0.0003049311747739598,-0.020559789548242675
LRCX,Asset,-0.01,480,0.4979166666666667,-0.000436531521281625,-0.018259224240689396
AMC,Toxic,-0.01,474,0.4641350210970464,-0.0006531055250765991,-0.04162814150305413
ACHR,Asset,-0.01,247,0.4291497975708502,-0.0006972209755660006,-0.03607989315700067
GLD,Asset,-0.01,164,0.45121951219512196,-0.0007445561682211694,-0.005975166079291765
