Ticker,Pool,Threshold,Events,Win Rate,Avg Fade Return
AMD,Asset,0.015,442,0.48868778280542985,-0.0021560669499361505
AMZN,Asset,0.015,182,0.4835164835164835,-0.00017351041030524083
ANET,Asset,0.015,213,0.43661971830985913,-0.002314323454324801
APP,Asset,0.015,209,0.507177033492823,0.0014672596967445133
BB,Toxic,0.015,223,0.484304932735426,-0.0003837772526366221
BBBY,Toxic,0.015,403,0.5409429280397022,0.00027292402453152597
BE,Asset,0.015,426,0.5375586854460094,-0.001460011454474507
BIRD,Toxic,0.015,243,0.6502057613168725,0.010218521699650313
BRK-B,Asset,0.015,50,0.46,-0.0013892051895896477
BROS,Asset,0.015,125,0.52,-0.0008316099704725262
BYND,Toxic,0.015,251,0.5537848605577689,0.005941428974040494
BZFD,Toxic,0.015,171,0.631578947368421,0.014551499438703269
CCJ,Asset,0.015,255,0.5450980392156862,0.00035917444483408355
CEG,Asset,0.015,95,0.5368421052631579,0.0008492943364073665
CELH,Asset,0.015,385,0.5428571428571428,0.0032330824325130726
CIFR,Asset,0.015,377,0.5517241379310345,0.004946031907062349
CLOV,Toxic,0.015,245,0.5265306122448979,0.003559448444864335
CRWD,Asset,0.015,228,0.5219298245614035,0.0012399346148297403
CVNA,Toxic,0.015,325,0.5230769230769231,-0.002511955180794377
DDOG,Asset,0.015,220,0.5363636363636364,4.607816962504245e-05
DNA,Toxic,0.015,256,0.56640625,0.007913242454000916
DOCN,Asset,0.015,192,0.5,0.0011045387730727943
DUOL,Asset,0.015,132,0.5,-0.0015727101476925652
EOSE,Asset,0.015,319,0.5454545454545454,-0.0023094725102476795
FI,Asset,0.015,81,0.4691358024691358,-0.0014239800172629674
FUBO,Asset,0.015,371,0.5283018867924528,0.0058822386439282255
GLD,Asset,0.015,50,0.38,-0.0007048881982087117
GLW,Asset,0.015,130,0.4,-0.0033597728841632773
GME,Toxic,0.015,276,0.5072463768115942,-0.007783369314990888
GOOG,Asset,0.015,136,0.5147058823529411,-0.0003989293038093853
GRAB,Asset,0.015,203,0.6206896551724138,0.006932223926536183
HIMS,Asset,0.015,248,0.5725806451612904,0.004924070469614275
HOOD,Asset,0.015,204,0.49019607843137253,-0.0009573859598231289
