Group,Ticker,Avoided Days,Avoided %,Total Ret (B&H),Total Ret (Strat),Total Ret Delta,MDD (B&H),MDD (Strat),MDD Improv,Calmar (B&H),Calmar (Strat),CAGR (B&H),CAGR (Strat),Win Rate (B&H),Win Rate (Strat)
Group A (Final),CRWD,548,36.7,9.470267774935042,17.194718796279318,7.724451021344276,-0.6769220151886317,-0.5997179770939649,0.0772040380946668,0.7180682092981325,1.0525804486889645,0.486076179280984,0.6312514174164037,0.5327978580990629,0.6358768406961178
Group A (Final),MSFT,389,26.0,2.170176774228285,3.6020468011803244,1.4318700269520392,-0.37148482887440937,-0.32539807663589615,0.04608675223851322,0.5783354847064606,0.9024905360951143,0.21484285856817809,0.293668684627449,0.5307898259705489,0.5963855421686747
Group B (Toxic),DNA,463,39.6,-0.9755434784657318,-0.6490201797064283,0.3265232987593034,-0.9910187663486116,-0.8539282501824169,0.13709051616619472,-0.5556368587519793,-0.23660956481904818,-0.5506465542982043,-0.20204759166235298,0.4422583404619333,0.6099230111206159
Group A (Final),BROS,339,31.8,0.6663031195029845,1.742713896116999,1.0764107766140145,-0.7008524660204279,-0.5405987893117613,0.16025367670866664,0.18323620779437758,0.4987886426671343,0.12842154809692108,0.26964453634830954,0.4892018779342723,0.5906103286384976
Group B (Toxic),LCID,509,38.7,-0.8702730058062855,-0.07595192443915977,0.7943210813671258,-0.9798105077226034,-0.8823233611956578,0.09748714652694557,-0.33075634679670707,-0.017040038960567144,-0.32407854408735504,-0.015034824450592565,0.4512937595129376,0.6012176560121766
Group B (Toxic),BIRD,436,42.3,-0.9920560743344417,-0.8533595975869019,0.1386964767475397,-0.9920029893270019,-0.9127532842583375,0.07924970506866447,-0.6992387778128017,-0.4106312912882418,-0.6936469578436586,-0.3748050597425847,0.46601941747572817,0.6398058252427185
Group A (Final),SNOW,468,35.5,-0.1316110705032647,1.0038882254927008,1.1354992959959656,-0.7298763502408517,-0.6896285042144619,0.040247846026389866,-0.036527149714318835,0.2064398032387465,-0.0266603027181882,0.14236677271786458,0.5227963525835866,0.6238601823708206
Group B (Toxic),PSNY,399,34.7,-0.9599666659037274,-0.7162801720504054,0.24368649385332197,-0.9738856264660334,-0.8658327870476339,0.1080528394183995,-0.5201663357397592,-0.2790290595524363,-0.5065825177484564,-0.24159250829956613,0.436411149825784,0.5757839721254355
Group A (Final),CEG,301,30.7,8.322965268925593,6.626216006350029,-1.6967492625755636,-0.5070228413478585,-0.38829449018798073,0.11872835115987773,1.533575612694854,1.7715608476096938,0.7775578645703278,0.6878873161595931,0.5470347648261759,0.6359918200408998
Group B (Toxic),BYND,484,32.4,-0.9843997890392713,-0.8446345434515651,0.1397652455877062,-0.9973325811824373,-0.9813941960826961,0.015938385099741215,-0.5056397271916281,-0.27464062676247175,-0.5042909742684099,-0.26953071711320375,0.44912985274431055,0.571619812583668
Group A (Final),PLTR,493,37.7,18.741051924856052,25.53599130294134,6.794939378085289,-0.8461538461538465,-0.7673798029528771,0.07877404320096937,0.919537677692001,1.1500285221649993,0.7780703426624627,0.8825086607291657,0.5053598774885145,0.6263399693721287
